0: [47, 47, 35, 35, 42, 42, 39, 39, 41, 41, 41, 41, 43, 43, 43, 43, 39, 39, 41, 41]
0.1: [48.8, 39.2, 46.4, 43.0, 46.5, 44.6, 48.1, 46.8, 45.0, 45.8]
0.2: [50.2, 42.0, 50.4, 46.6, 48.6, 48.8, 49.6, 50.0, 49.6, 48.6]
3: [65, 65, 57, 57, 73, 73, 72, 72, 65, 65, 81, 81, 61, 61, 78, 78, 73, 73, 73, 73]
0.4: [56.6, 44.0, 54.4, 51.0, 53.8, 54.8, 52.6, 54.2, 54.4, 53.8]
0.5: [57.0, 45.0, 56.0, 54.0, 56.0, 54.5, 53.5, 56.0, 57.5, 55.5]
0.6: [58.2, 46.0, 59.0, 54.6, 55.4, 58.8, 54.2, 57.8, 59.0, 57.8]
0.7: [58.9, 47.0, 61.1, 56.4, 56.3, 61.099999999999994, 54.9, 60.7, 60.5, 60.5]
0.8: [59.8, 48.0, 62.4, 57.6, 57.2, 63.400000000000006, 56.4, 62.8, 62.0, 62.2]
0.9: [60.4, 49.0, 62.8, 58.8, 58.1, 64.8, 56.7, 64.1, 63.5, 63.6]
1: [60, 50, 64, 60, 61, 66, 57, 65, 66, 65]
1.1: [61.5, 51.0, 65.2, 61.2, 59.9, 65.3, 57.1, 65.9, 66.5, 66.4]
1.2: [62.0, 52.0, 66.4, 62.4, 60.8, 68.2, 57.2, 66.8, 67.4, 67.0]
1.3: [62.8, 53.0, 68.9, 63.6, 62.5, 69.3, 57.3, 67.7, 66.9, 67.5]
1.4: [61.6, 54.0, 67.4, 64.0, 63.0, 70.4, 57.4, 68.6, 69.6, 68.0]
1.5: [62.0, 54.5, 68.0, 65.0, 63.5, 73.5, 57.5, 69.5, 70.0, 68.5]
1.6: [62.4, 54.2, 68.6, 67.0, 64.0, 74.6, 57.6, 70.4, 70.4, 69.6]
1.7: [62.8, 54.1, 69.2, 63.6, 64.1, 75.7, 57.7, 71.3, 70.8, 69.7]
1.8: [63.2, 54.6, 71.4, 66.2, 64.4, 74.6, 57.8, 72.2, 71.2, 70.0]
1.9: [63.6, 54.8, 70.7, 68.5, 64.7, 76.8, 59.7, 73.1, 71.6, 70.5]
2: [63, 55, 71, 69, 64, 76, 59, 73, 71, 70]
2.1: [64.4, 55.2, 71.3, 69.3, 65.2, 79.2, 60.1, 73.9, 69.3, 71.5]
2.2: [64.8, 55.4, 72.2, 69.6, 65.4, 77.0, 60.2, 77.2, 69.6, 72.0]
2.3: [65.0, 55.6, 72.3, 68.2, 65.0, 77.5, 60.3, 77.3, 69.9, 72.3]
2.4: [65.0, 55.8, 72.4, 68.6, 65.8, 78.0, 60.4, 77.4, 71.2, 72.4]
2.5: [65.0, 56.0, 72.5, 69.0, 65.0, 78.5, 60.5, 77.5, 73.0, 72.5]
2.6: [65.0, 56.2, 72.6, 69.4, 65.0, 79.0, 60.6, 77.6, 71.8, 72.6]
2.7: [65.0, 56.4, 72.7, 69.8, 65.0, 79.5, 60.7, 77.7, 72.1, 72.7]
2.8: [65.0, 56.6, 72.8, 70.2, 65.0, 80.0, 60.8, 77.8, 72.4, 72.8]
2.9: [65.0, 56.8, 72.9, 71.7, 65.0, 80.5, 60.9, 77.9, 72.7, 72.9]
