0: [32, 33, 33, 33, 32, 33, 34, 33, 26, 34, 36, 39, 39, 36, 37, 36, 39, 35, 35, 37, 34, 31, 30, 33, 32, 33, 35, 32, 36, 38, 40, 43, 41, 43, 45, 37, 43, 34, 39, 41, 45, 44, 46, 45, 47, 44, 47, 42, 46, 46, 46, 39, 42, 37, 46, 45, 42, 43, 44, 43]
0.1: [35.0, 35.8, 35.8, 36.1, 34.0, 35.6, 38.0, 36.7, 29.5, 36.7, 39.3, 43.1, 42.4, 39.1, 41.7, 39.3, 41.7, 37.6, 39.8, 40.7, 36.6, 35.2, 33.9, 37.4, 36.4, 37.2, 38.0, 36.5, 39.5, 37.7, 45.4, 46.7, 46.3, 48.1, 49.6, 42.7, 48.2, 39.3, 45.4, 46.9, 49.4, 49.9, 50.5, 49.1, 51.7, 47.8, 51.6, 47.5, 49.4, 48.9, 50.0, 46.2, 47.6, 41.5, 49.2, 46.6, 48.9, 48.8, 47.3, 47.0]
0.2: [37.0, 38.4, 38.6, 38.2, 36.0, 37.2, 41.0, 39.4, 33.0, 39.4, 40.6, 45.0, 43.4, 42.2, 45.4, 43.8, 44.2, 39.2, 41.6, 43.8, 39.2, 37.8, 37.0, 41.4, 41.8, 40.4, 40.8, 41.2, 45.6, 44.4, 49.8, 50.4, 49.6, 52.6, 52.2, 44.4, 51.4, 42.6, 48.4, 44.4, 53.8, 54.2, 55.6, 51.8, 54.8, 52.6, 55.8, 49.4, 51.8, 53.6, 53.0, 49.6, 52.6, 46.4, 52.4, 50.2, 46.8, 51.6, 50.4, 51.0]
0.3: [38.8, 39.5, 40.3, 40.3, 38.0, 40.5, 43.5, 42.1, 33.3, 42.1, 41.9, 47.5, 45.6, 45.3, 48.6, 44.5, 45.8, 41.4, 43.4, 46.3, 42.5, 40.2, 39.0, 42.4, 44.6, 43.6, 43.2, 45.3, 47.7, 45.2, 52.1, 52.0, 52.9, 56.7, 54.8, 48.2, 56.5, 45.3, 52.6, 51.1, 57.1, 56.9, 58.9, 53.8, 54.8, 54.4, 57.7, 53.0, 53.9, 55.9, 56.0, 54.1, 53.6, 50.6, 55.6, 53.8, 54.4, 54.3, 53.6, 54.7]
0.4: [41.2, 40.6, 36.8, 42.4, 40.0, 39.6, 46.6, 43.8, 36.0, 44.8, 43.2, 50.0, 47.8, 48.4, 51.8, 47.0, 47.4, 43.2, 48.8, 46.4, 45.0, 42.6, 41.0, 47.4, 47.4, 46.8, 45.6, 50.400000000000006, 51.2, 47.6, 53.6, 54.6, 56.2, 60.4, 57.4, 50.6, 58.6, 48.0, 57.6, 51.4, 59.8, 59.4, 62.2, 55.0, 56.4, 56.2, 60.6, 55.0, 60.4, 58.2, 59.0, 55.8, 55.8, 54.8, 58.8, 56.4, 57.2, 53.8, 56.8, 60.2]
0.5: [42.5, 41.0, 37.5, 44.5, 42.0, 40.0, 48.5, 45.5, 36.5, 47.0, 44.5, 52.5, 50.0, 47.5, 55.0, 49.5, 49.0, 45.0, 50.5, 46.5, 47.5, 44.0, 43.0, 49.0, 49.5, 50.0, 48.0, 54.5, 49.0, 49.0, 56.0, 54.5, 59.5, 64.0, 60.0, 53.0, 61.5, 51.0, 59.0, 55.0, 62.5, 63.5, 63.5, 56.5, 59.5, 58.0, 65.5, 57.5, 62.0, 60.5, 62.0, 56.5, 58.0, 59.0, 61.5, 59.0, 57.0, 53.5, 60.0, 63.5]
1: [48, 45, 41, 51, 52, 42, 61, 54, 43, 55, 51, 65, 56, 58, 68, 62, 60, 52, 58, 47, 61, 46, 49, 56, 61, 62, 52, 68, 54, 53, 59, 63, 67, 71, 73, 65, 74, 64, 68, 58, 76, 73, 71, 72, 76, 67, 76, 67, 71, 72, 77, 73, 69, 66, 73, 64, 68, 60, 78, 74]
1.5: [52.5, 48.0, 44.5, 59.0, 62.0, 47.0, 71.5, 62.5, 52.0, 62.0, 57.5, 75.0, 61.5, 65.0, 79.0, 65.0, 65.0, 59.5, 71.5, 47.5, 67.5, 48.5, 56.0, 63.0, 70.5, 74.0, 57.5, 83.5, 61.0, 57.0, 66.0, 63.0, 71.0, 83.0, 80.0, 77.0, 86.5, 72.5, 78.5, 64.5, 90.0, 83.5, 75.5, 82.0, 92.0, 76.0, 69.5, 77.0, 79.0, 83.5, 92.0, 83.5, 80.0, 77.5, 79.5, 77.0, 77.0, 65.5, 89.5, 85.5]
2: [57, 51, 48, 64, 72, 48, 82, 69, 70, 67, 64, 83, 67, 72, 90, 71, 73, 66, 79, 48, 76, 51, 63, 70, 80, 81, 63, 89, 64, 61, 70, 67, 79, 87, 88, 89, 93, 81, 89, 71, 100, 94, 81, 92, 105, 85, 75, 87, 89, 92, 104, 94, 91, 89, 88, 88, 86, 70, 101, 97]
3: [66, 57, 55, 74, 92, 58, 103, 83, 89, 80, 77, 99, 78, 84, 112, 90, 89, 76, 94, 49, 93, 103, 77, 84, 99, 101, 74, 123, 70, 69, 78, 75, 95, 119, 124, 113, 114, 98, 110, 84, 119, 109, 92, 110, 131, 103, 86, 107, 109, 110, 127, 115, 113, 109, 100, 114, 104, 78, 124, 120]
