0: [78, 78, 77, 81, 80, 84, 76, 80, 79, 77, 112, 114, 109, 108, 110, 103, 114, 102, 111, 107]
0.1: [88.7, 89.8, 89.2, 91.7, 91.4, 94.7, 89.9, 92.9, 89.4, 90.9, 129.2, 128.8, 121.6, 125.8, 127.3, 120.6, 124.8, 120.0, 126.4, 120.1]
0.2: [99.2, 101.0, 101.2, 99.4, 100.0, 100.0, 98.2, 103.6, 94.0, 101.8, 141.8, 142.0, 133.4, 136.6, 145.0, 133.8, 137.8, 134.4, 139.2, 136.0]
0.3: [106.8, 110.5, 108.2, 109.9, 108.0, 106.6, 105.8, 107.1, 105.5, 112.69999999999999, 152.4, 156.7, 141.4, 147.4, 154.7, 146.5, 146.8, 136.6, 158.5, 146.6]
0.4: [114.4, 117.0, 112.2, 114.0, 110.8, 114.6, 113.4, 114.8, 112.0, 116.0, 162.0, 171.8, 146.8, 158.6, 160.8, 159.0, 146.6, 146.4, 170.0, 154.0]
0.5: [122.0, 122.5, 118.5, 126.0, 120.0, 116.0, 121.0, 122.5, 115.5, 119.5, 178.0, 177.5, 158.5, 167.5, 174.5, 170.0, 166.0, 153.0, 181.5, 154.0]
1: [160, 160, 140, 161, 156, 144, 166, 173, 144, 162, 209, 229, 179, 235, 203, 235, 195, 225, 239, 210]
1.5: [198.0, 196.5, 177.5, 196.0, 189.5, 171.5, 179.5, 181.0, 173.0, 198.5, 244.5, 295.0, 279.0, 290.5, 301.0, 233.5, 232.5, 272.0, 296.5, 238.5]
2: [247, 231, 207, 239, 223, 197, 194, 200, 191, 235, 280, 354, 265, 343, 360, 272, 263, 325, 354, 276]
3: [329, 297, 266, 302, 290, 248, 273, 243, 238, 308, 336, 473, 334, 454, 478, 468, 334, 431, 268, 350]
