0: [143, 136, 132, 130, 139, 129, 138, 139, 132, 145]
0.1: [167.0, 155.2, 153.6, 149.1, 156.2, 150.3, 159.1, 159.6, 154.9, 160.1]
0.2: [181.4, 170.2, 170.8, 164.8, 168.2, 162.6, 176.0, 175.0, 174.6, 173.4]
0.3: [198.5, 183.1, 183.3, 183.2, 176.8, 174.5, 186.9, 183.9, 185.6, 185.6]
0.4: [214.0, 197.8, 196.0, 197.8, 187.4, 185.0, 198.0, 203.8, 192.4, 197.8]
0.5: [220.5, 216.5, 211.0, 208.5, 209.0, 195.5, 213.5, 204.5, 204.5, 210.0]
1: [277, 267, 285, 283, 282, 241, 264, 261, 289, 286]
1.5: [357.0, 295.0, 355.0, 318.0, 340.5, 318.0, 325.0, 296.5, 357.5, 363.0]
2: [379, 436, 375, 384, 401, 374, 384, 398, 381, 426]
3: [600, 525, 585, 452, 523, 481, 460, 442, 497, 561]
