0: [79, 80, 79, 81, 81, 79, 76, 77, 78, 83]
0.1: [89.2, 94.4, 92.5, 95.6, 94.3, 91.9, 86.7, 89.7, 88.1, 93.8]
0.2: [98.0, 104.4, 105.2, 107.4, 102.4, 99.2, 95.4, 97.4, 95.4, 104.0]
0.3: [108.8, 106.1, 109.1, 110.6, 106.6, 106.7, 104.1, 103.6, 100.4, 111.5]
0.4: [112.2, 113.8, 113.0, 117.4, 113.8, 114.8, 110.2, 109.8, 106.8, 118.0]
0.5: [108.0, 118.5, 115.0, 124.0, 123.5, 123.0, 111.5, 116.0, 108.0, 124.5]
1: [150, 159, 141, 157, 153, 143, 145, 147, 135, 157]
1.5: [197.5, 193.5, 166.5, 200.5, 179.5, 192.5, 175.0, 178.0, 174.0, 189.5]
2: [193, 228, 192, 221, 206, 224, 203, 199, 202, 164]
3: [242, 297, 249, 284, 259, 259, 259, 217, 258, 198]
