0: [143, 138, 132, 132, 141, 129, 137, 138, 132, 145]
0.1: [164.00000000000003, 161.79999999999995, 153.2999999999999, 155.09999999999997, 158.19999999999987, 152.60000000000002, 157.29999999999998, 157.29999999999995, 153.0999999999999, 165.7999999999999]
0.2: [183.99999999999994, 182.60000000000002, 171.59999999999994, 175.19999999999985, 172.4, 173.2, 180.59999999999988, 174.39999999999995, 171.79999999999993, 182.59999999999994]
0.3: [205.59999999999997, 203.39999999999995, 189.90000000000006, 190.80000000000007, 186.6, 193.40000000000003, 197.80000000000004, 191.60000000000005, 190.70000000000007, 199.40000000000006]
0.4: [209.8, 224.20000000000002, 208.2000000000001, 220.60000000000002, 200.80000000000013, 202.6000000000001, 217.40000000000006, 208.80000000000007, 209.60000000000014, 216.2000000000001]
0.5: [235.0, 245.0, 226.5, 238.5, 215.0, 222.5, 220.5, 226.0, 228.5, 233.0]
1: [319, 349, 318, 330, 286, 309, 319, 303, 321, 317]
1.5: [416.0, 453.0, 409.5, 421.5, 357.0, 395.5, 404.5, 378.5, 413.5, 401.0]
2: [520, 557, 501, 513, 428, 482, 491, 454, 506, 485]
3: [703, 765, 683, 696, 570, 655, 664, 630, 647, 653]
